Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,463267,10,0.1,GOLDTEN,GOLDTEN30SEP25,30-SEP-2025,FUTCOM,XX,0,1,
MCX,466028,10,0.1,GOLDTEN,GOLDTEN31OCT25,31-OCT-2025,FUTCOM,XX,0,1,
MCX,467742,10,0.1,GOLDTEN,GOLDTEN28NOV25,28-NOV-2025,FUTCOM,XX,0,1,
MCX,458306,5,100,COTTONOIL,COTTONOIL30SEP25,30-SEP-2025,FUTCOM,XX,0,0.1,
MCX,463269,5,100,COTTONOIL,COTTONOIL31OCT25,31-OCT-2025,FUTCOM,XX,0,0.1,
MCX,466032,5,100,COTTONOIL,COTTONOIL28NOV25,28-NOV-2025,FUTCOM,XX,0,0.1,
MCX,467749,5,100,COTTONOIL,COTTONOIL31DEC25,31-DEC-2025,FUTCOM,XX,0,0.1,
MCX,463397,50,1,ELECDMBL,ELECDMBL29SEP25,29-SEP-2025,FUTCOM,XX,0,1,
MCX,463398,50,1,ELECDMBL,ELECDMBL30OCT25,30-OCT-2025,FUTCOM,XX,0,1,
MCX,466030,50,1,ELECDMBL,ELECDMBL28NOV25,28-NOV-2025,FUTCOM,XX,0,1,
MCX,467751,50,1,ELECDMBL,ELECDMBL30DEC25,30-DEC-2025,FUTCOM,XX,0,1,
MCX,463011,250,1,NATGASMINI,NATGASMINI23SEP25C320,23-SEP-2025,OPTFUT,CE,320,0.05,
MCX,463012,250,1,NATGASMINI,NATGASMINI23SEP25P320,23-SEP-2025,OPTFUT,PE,320,0.05,
MCX,463075,250,1,NATGASMINI,NATGASMINI23SEP25C315,23-SEP-2025,OPTFUT,CE,315,0.05,
MCX,463076,250,1,NATGASMINI,NATGASMINI23SEP25C310,23-SEP-2025,OPTFUT,CE,310,0.05,
MCX,463077,250,1,NATGASMINI,NATGASMINI23SEP25C305,23-SEP-2025,OPTFUT,CE,305,0.05,
MCX,463078,250,1,NATGASMINI,NATGASMINI23SEP25C300,23-SEP-2025,OPTFUT,CE,300,0.05,
MCX,463079,250,1,NATGASMINI,NATGASMINI23SEP25C295,23-SEP-2025,OPTFUT,CE,295,0.05,
MCX,463080,250,1,NATGASMINI,NATGASMINI23SEP25C290,23-SEP-2025,OPTFUT,CE,290,0.05,
MCX,463081,250,1,NATGASMINI,NATGASMINI23SEP25C285,23-SEP-2025,OPTFUT,CE,285,0.05,
MCX,463082,250,1,NATGASMINI,NATGASMINI23SEP25C280,23-SEP-2025,OPTFUT,CE,280,0.05,
MCX,463083,250,1,NATGASMINI,NATGASMINI23SEP25C275,23-SEP-2025,OPTFUT,CE,275,0.05,
MCX,463084,250,1,NATGASMINI,NATGASMINI23SEP25C270,23-SEP-2025,OPTFUT,CE,270,0.05,
MCX,463085,250,1,NATGASMINI,NATGASMINI23SEP25C265,23-SEP-2025,OPTFUT,CE,265,0.05,
MCX,463086,250,1,NATGASMINI,NATGASMINI23SEP25C260,23-SEP-2025,OPTFUT,CE,260,0.05,
MCX,463087,250,1,NATGASMINI,NATGASMINI23SEP25C255,23-SEP-2025,OPTFUT,CE,255,0.05,
MCX,463088,250,1,NATGASMINI,NATGASMINI23SEP25C250,23-SEP-2025,OPTFUT,CE,250,0.05,
MCX,463089,250,1,NATGASMINI,NATGASMINI23SEP25C245,23-SEP-2025,OPTFUT,CE,245,0.05,
MCX,463090,250,1,NATGASMINI,NATGASMINI23SEP25C325,23-SEP-2025,OPTFUT,CE,325,0.05,
MCX,463091,250,1,NATGASMINI,NATGASMINI23SEP25C330,23-SEP-2025,OPTFUT,CE,330,0.05,
MCX,463092,250,1,NATGASMINI,NATGASMINI23SEP25C335,23-SEP-2025,OPTFUT,CE,335,0.05,
MCX,463093,250,1,NATGASMINI,NATGASMINI23SEP25C340,23-SEP-2025,OPTFUT,CE,340,0.05,
MCX,463094,250,1,NATGASMINI,NATGASMINI23SEP25C345,23-SEP-2025,OPTFUT,CE,345,0.05,
MCX,463095,250,1,NATGASMINI,NATGASMINI23SEP25C350,23-SEP-2025,OPTFUT,CE,350,0.05,
MCX,463096,250,1,NATGASMINI,NATGASMINI23SEP25C355,23-SEP-2025,OPTFUT,CE,355,0.05,
MCX,463097,250,1,NATGASMINI,NATGASMINI23SEP25C360,23-SEP-2025,OPTFUT,CE,360,0.05,
MCX,463098,250,1,NATGASMINI,NATGASMINI23SEP25C365,23-SEP-2025,OPTFUT,CE,365,0.05,
MCX,463099,250,1,NATGASMINI,NATGASMINI23SEP25C370,23-SEP-2025,OPTFUT,CE,370,0.05,
MCX,463100,250,1,NATGASMINI,NATGASMINI23SEP25C375,23-SEP-2025,OPTFUT,CE,375,0.05,
MCX,463101,250,1,NATGASMINI,NATGASMINI23SEP25C380,23-SEP-2025,OPTFUT,CE,380,0.05,
MCX,463102,250,1,NATGASMINI,NATGASMINI23SEP25C385,23-SEP-2025,OPTFUT,CE,385,0.05,
MCX,463103,250,1,NATGASMINI,NATGASMINI23SEP25C390,23-SEP-2025,OPTFUT,CE,390,0.05,
MCX,463104,250,1,NATGASMINI,NATGASMINI23SEP25C395,23-SEP-2025,OPTFUT,CE,395,0.05,
MCX,463105,250,1,NATGASMINI,NATGASMINI23SEP25P315,23-SEP-2025,OPTFUT,PE,315,0.05,
MCX,463106,250,1,NATGASMINI,NATGASMINI23SEP25P310,23-SEP-2025,OPTFUT,PE,310,0.05,
MCX,463107,250,1,NATGASMINI,NATGASMINI23SEP25P305,23-SEP-2025,OPTFUT,PE,305,0.05,
MCX,463108,250,1,NATGASMINI,NATGASMINI23SEP25P300,23-SEP-2025,OPTFUT,PE,300,0.05,
MCX,463109,250,1,NATGASMINI,NATGASMINI23SEP25P295,23-SEP-2025,OPTFUT,PE,295,0.05,
MCX,463110,250,1,NATGASMINI,NATGASMINI23SEP25P290,23-SEP-2025,OPTFUT,PE,290,0.05,
MCX,463111,250,1,NATGASMINI,NATGASMINI23SEP25P285,23-SEP-2025,OPTFUT,PE,285,0.05,
MCX,463112,250,1,NATGASMINI,NATGASMINI23SEP25P280,23-SEP-2025,OPTFUT,PE,280,0.05,
MCX,463113,250,1,NATGASMINI,NATGASMINI23SEP25P275,23-SEP-2025,OPTFUT,PE,275,0.05,
MCX,463114,250,1,NATGASMINI,NATGASMINI23SEP25P270,23-SEP-2025,OPTFUT,PE,270,0.05,
MCX,463115,250,1,NATGASMINI,NATGASMINI23SEP25P265,23-SEP-2025,OPTFUT,PE,265,0.05,
MCX,463116,250,1,NATGASMINI,NATGASMINI23SEP25P260,23-SEP-2025,OPTFUT,PE,260,0.05,
MCX,463117,250,1,NATGASMINI,NATGASMINI23SEP25P255,23-SEP-2025,OPTFUT,PE,255,0.05,
MCX,463118,250,1,NATGASMINI,NATGASMINI23SEP25P250,23-SEP-2025,OPTFUT,PE,250,0.05,
MCX,463119,250,1,NATGASMINI,NATGASMINI23SEP25P245,23-SEP-2025,OPTFUT,PE,245,0.05,
MCX,463120,250,1,NATGASMINI,NATGASMINI23SEP25P325,23-SEP-2025,OPTFUT,PE,325,0.05,
MCX,463121,250,1,NATGASMINI,NATGASMINI23SEP25P330,23-SEP-2025,OPTFUT,PE,330,0.05,
MCX,463122,250,1,NATGASMINI,NATGASMINI23SEP25P335,23-SEP-2025,OPTFUT,PE,335,0.05,
MCX,463123,250,1,NATGASMINI,NATGASMINI23SEP25P340,23-SEP-2025,OPTFUT,PE,340,0.05,
MCX,463124,250,1,NATGASMINI,NATGASMINI23SEP25P345,23-SEP-2025,OPTFUT,PE,345,0.05,
MCX,463125,250,1,NATGASMINI,NATGASMINI23SEP25P350,23-SEP-2025,OPTFUT,PE,350,0.05,
MCX,463126,250,1,NATGASMINI,NATGASMINI23SEP25P355,23-SEP-2025,OPTFUT,PE,355,0.05,
MCX,463127,250,1,NATGASMINI,NATGASMINI23SEP25P360,23-SEP-2025,OPTFUT,PE,360,0.05,
MCX,463128,250,1,NATGASMINI,NATGASMINI23SEP25P365,23-SEP-2025,OPTFUT,PE,365,0.05,
MCX,463129,250,1,NATGASMINI,NATGASMINI23SEP25P370,23-SEP-2025,OPTFUT,PE,370,0.05,
MCX,463130,250,1,NATGASMINI,NATGASMINI23SEP25P375,23-SEP-2025,OPTFUT,PE,375,0.05,
MCX,463131,250,1,NATGASMINI,NATGASMINI23SEP25P380,23-SEP-2025,OPTFUT,PE,380,0.05,
MCX,463132,250,1,NATGASMINI,NATGASMINI23SEP25P385,23-SEP-2025,OPTFUT,PE,385,0.05,
MCX,463133,250,1,NATGASMINI,NATGASMINI23SEP25P390,23-SEP-2025,OPTFUT,PE,390,0.05,
MCX,463134,250,1,NATGASMINI,NATGASMINI23SEP25P395,23-SEP-2025,OPTFUT,PE,395,0.05,
MCX,463159,250,1,NATGASMINI,NATGASMINI23SEP25C240,23-SEP-2025,OPTFUT,CE,240,0.05,
MCX,463160,250,1,NATGASMINI,NATGASMINI23SEP25P240,23-SEP-2025,OPTFUT,PE,240,0.05,
MCX,463248,250,1,NATGASMINI,NATGASMINI23SEP25C400,23-SEP-2025,OPTFUT,CE,400,0.05,
MCX,463249,250,1,NATGASMINI,NATGASMINI23SEP25C405,23-SEP-2025,OPTFUT,CE,405,0.05,
MCX,463250,250,1,NATGASMINI,NATGASMINI23SEP25P400,23-SEP-2025,OPTFUT,PE,400,0.05,
MCX,463251,250,1,NATGASMINI,NATGASMINI23SEP25P405,23-SEP-2025,OPTFUT,PE,405,0.05,
MCX,463365,250,1,NATGASMINI,NATGASMINI23SEP25C235,23-SEP-2025,OPTFUT,CE,235,0.05,
MCX,463366,250,1,NATGASMINI,NATGASMINI23SEP25P235,23-SEP-2025,OPTFUT,PE,235,0.05,
MCX,463383,250,1,NATGASMINI,NATGASMINI23SEP25C230,23-SEP-2025,OPTFUT,CE,230,0.05,
MCX,463384,250,1,NATGASMINI,NATGASMINI23SEP25C225,23-SEP-2025,OPTFUT,CE,225,0.05,
MCX,463387,250,1,NATGASMINI,NATGASMINI23SEP25P230,23-SEP-2025,OPTFUT,PE,230,0.05,
MCX,463388,250,1,NATGASMINI,NATGASMINI23SEP25P225,23-SEP-2025,OPTFUT,PE,225,0.05,
MCX,463654,250,1,NATGASMINI,NATGASMINI23SEP25C220,23-SEP-2025,OPTFUT,CE,220,0.05,
MCX,463655,250,1,NATGASMINI,NATGASMINI23SEP25C215,23-SEP-2025,OPTFUT,CE,215,0.05,
MCX,463661,250,1,NATGASMINI,NATGASMINI23SEP25P220,23-SEP-2025,OPTFUT,PE,220,0.05,
MCX,463662,250,1,NATGASMINI,NATGASMINI23SEP25P215,23-SEP-2025,OPTFUT,PE,215,0.05,
MCX,465823,250,1,NATGASMINI,NATGASMINI23SEP25C210,23-SEP-2025,OPTFUT,CE,210,0.05,
MCX,465824,250,1,NATGASMINI,NATGASMINI23SEP25C205,23-SEP-2025,OPTFUT,CE,205,0.05,
MCX,465829,250,1,NATGASMINI,NATGASMINI23SEP25P210,23-SEP-2025,OPTFUT,PE,210,0.05,
MCX,465830,250,1,NATGASMINI,NATGASMINI23SEP25P205,23-SEP-2025,OPTFUT,PE,205,0.05,
MCX,465845,250,1,NATGASMINI,NATGASMINI24OCT25C310,24-OCT-2025,OPTFUT,CE,310,0.05,
MCX,465846,250,1,NATGASMINI,NATGASMINI24OCT25P310,24-OCT-2025,OPTFUT,PE,310,0.05,
MCX,465917,250,1,NATGASMINI,NATGASMINI23SEP25C200,23-SEP-2025,OPTFUT,CE,200,0.05,
MCX,465918,250,1,NATGASMINI,NATGASMINI24OCT25C300,24-OCT-2025,OPTFUT,CE,300,0.05,
MCX,465919,250,1,NATGASMINI,NATGASMINI24OCT25C295,24-OCT-2025,OPTFUT,CE,295,0.05,
MCX,465920,250,1,NATGASMINI,NATGASMINI24OCT25C290,24-OCT-2025,OPTFUT,CE,290,0.05,
MCX,465921,250,1,NATGASMINI,NATGASMINI24OCT25C285,24-OCT-2025,OPTFUT,CE,285,0.05,
MCX,465922,250,1,NATGASMINI,NATGASMINI24OCT25C280,24-OCT-2025,OPTFUT,CE,280,0.05,
MCX,465923,250,1,NATGASMINI,NATGASMINI24OCT25C275,24-OCT-2025,OPTFUT,CE,275,0.05,
MCX,465924,250,1,NATGASMINI,NATGASMINI24OCT25C270,24-OCT-2025,OPTFUT,CE,270,0.05,
MCX,465925,250,1,NATGASMINI,NATGASMINI24OCT25C265,24-OCT-2025,OPTFUT,CE,265,0.05,
MCX,465926,250,1,NATGASMINI,NATGASMINI24OCT25C260,24-OCT-2025,OPTFUT,CE,260,0.05,
MCX,465927,250,1,NATGASMINI,NATGASMINI24OCT25C255,24-OCT-2025,OPTFUT,CE,255,0.05,
MCX,465928,250,1,NATGASMINI,NATGASMINI24OCT25C250,24-OCT-2025,OPTFUT,CE,250,0.05,
