norenordno,uid,actid,exch,tsym,trantype,qty,prc,pcode,remarks,status,reporttype,prctyp,ret,exchordid,dscqty,rejreason,t
25091200206489,FA32246,FA32246,NFO,NIFTY16SEP25C25500,B,75,3.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200206488,FA42242,FA42242,NFO,NIFTY16SEP25C25500,B,75,3.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200207287,FA42242,FA42242,NFO,NIFTY16SEP25C25500,B,75,3.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200207289,FA32246,FA32246,NFO,NIFTY16SEP25C25500,B,75,3.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200210858,FA42242,FA42242,NFO,NIFTY16SEP25C25500,B,75,2.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200210859,FA32246,FA32246,NFO,NIFTY16SEP25C25500,B,75,2.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200212466,FA42242,FA42242,NFO,NIFTY16SEP25C25500,B,75,3.6,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200212467,FA32246,FA32246,NFO,NIFTY16SEP25C25500,B,75,3.6,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200219758,FA32246,FA32246,NFO,NIFTY16SEP25C25450,B,75,4.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200219759,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,4.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200222089,FA42242,FA42242,NFO,NIFTY16SEP25C25450,S,75,5.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200223335,FA42242,FA42242,NFO,NIFTY16SEP25C25450,S,75,5.2,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200224320,FA32246,FA32246,NFO,NIFTY16SEP25C25450,S,75,5.35,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200226351,FA32246,FA32246,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200226350,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200228572,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200231784,FA32246,FA32246,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200231783,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200234003,FA32246,FA32246,NFO,NIFTY16SEP25C25450,B,75,3.5,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200234004,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,3.5,I,,PENDING,PendingNew,LMT,DAY,,0, ,om
25091200235628,FA42242,FA42242,NFO,NIFTY16SEP25C25450,S,75,5.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200235629,FA32246,FA32246,NFO,NIFTY16SEP25C25450,S,75,5.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200235991,FA42242,FA42242,NFO,NIFTY16SEP25C25450,S,75,5.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200235990,FA32246,FA32246,NFO,NIFTY16SEP25C25450,S,75,5.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200243587,FA32246,FA32246,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091200243586,FA42242,FA42242,NFO,NIFTY16SEP25C25450,B,75,4.0,I,,PENDING,NewAck,LMT,DAY,,0, ,om
